city,country,lat,lon,source,oid,state,comments
Port Elizabeth,South Africa,-33.9667,25.6667,manually from http://www.astro.com/atlas/,827,NULL,NULL
Espoo,Finland,60.2167,24.6667,manually from http://www.astro.com/atlas/,828,NULL,NULL
Tallinn,Estonia,59.4167,24.75,manually from http://www.astro.com/atlas/,829,NULL,NULL
Santiago,Spain,42.8833,-8.55,manually from http://www.astro.com/atlas/,830,NULL,NULL
Minsk,Belarus,53.9,27.5667,manually from http://www.astro.com/atlas/,831,NULL,NULL
Murcia,Spain,37.9833,-1.11667,manually from http://www.astro.com/atlas/,832,NULL,NULL
Tirgu Mures,Romania,46.55,24.55,manually from http://www.astro.com/atlas/,833,NULL,NULL
Wageningen,Netherlands,51.9667,5.66667,manually from http://www.astro.com/atlas/,834,NULL,NULL
Rustavi,Georgia,41.55,45.0333,manually from http://www.astro.com/atlas/,835,NULL,NULL
Cork,Ireland,51.9,-8.46667,manually from http://www.astro.com/atlas/,836,NULL,NULL
Aix en Provence,France,43.5333,5.43333,manually from http://www.astro.com/atlas/,837,NULL,NULL
Kiev,Ukraine,50.4333,30.5167,manually from http://www.astro.com/atlas/,838,NULL,NULL
East Burwood,Australia,-37.85,145.15,manually from http://www.astro.com/atlas/,839,NULL,NULL
Manaus,Brazil,-3.1,-60.2167,manually from http://www.astro.com/atlas/,840,NULL,NULL
Tianjin,China,39.1333,117.2,manually from http://www.astro.com/atlas/,841,NULL,NULL
San Pedro,Costa Rica,9.93333,-84.05,manually from http://www.astro.com/atlas/,842,NULL,NULL
Aalborg,Denmark,57.05,9.93333,manually from http://www.astro.com/atlas/,843,NULL,NULL
Aalborg South,Denmark,57.05,9.93333,manually from http://www.astro.com/atlas/,844,NULL,NULL
Aalborg West,Denmark,57.05,9.93333,manually from http://www.astro.com/atlas/,845,NULL,NULL
Aalborg East,Denmark,57.05,9.93333,manually from http://www.astro.com/atlas/,846,NULL,NULL
Aarhus,Denmark,56.15,10.2167,manually from http://www.astro.com/atlas/,847,NULL,NULL
Aarhus North,Denmark,56.15,10.2167,manually from http://www.astro.com/atlas/,848,NULL,NULL
Aarhus South,Denmark,56.15,10.2167,manually from http://www.astro.com/atlas/,849,NULL,NULL
Aarhus West,Denmark,56.15,10.2167,manually from http://www.astro.com/atlas/,850,NULL,NULL
Aereskoebing,Denmark,54.8833,10.4167,manually from http://www.astro.com/atlas/,851,NULL,NULL
Allinge,Denmark,55.2667,14.8167,manually from http://www.astro.com/atlas/,852,NULL,NULL
Assens,Denmark,55.2667,9.91667,manually from http://www.astro.com/atlas/,853,NULL,NULL
Ballerup,Denmark,55.7333,12.3667,manually from http://www.astro.com/atlas/,854,NULL,NULL
Billund,Denmark,55.7333,9.11667,manually from http://www.astro.com/atlas/,855,NULL,NULL
Birkeroed,Denmark,55.8333,12.4333,manually from http://www.astro.com/atlas/,856,NULL,NULL
Bjerringbro,Denmark,56.3833,9.66667,manually from http://www.astro.com/atlas/,857,NULL,NULL
Bogense,Denmark,55.5667,10.1,manually from http://www.astro.com/atlas/,858,NULL,NULL
Bov,Denmark,54.8333,9.38333,manually from http://www.astro.com/atlas/,859,NULL,NULL
Brabrand,Denmark,56.15,10.1167,manually from http://www.astro.com/atlas/,860,NULL,NULL
Brande,Denmark,55.95,9.11667,manually from http://www.astro.com/atlas/,861,NULL,NULL
Brovst,Denmark,57.1,9.53333,manually from http://www.astro.com/atlas/,862,NULL,NULL
Dronninglund,Denmark,57.15,10.3,manually from http://www.astro.com/atlas/,863,NULL,NULL
Ebeltoft,Denmark,56.2,10.6833,manually from http://www.astro.com/atlas/,864,NULL,NULL
Esbjerg,Denmark,55.4667,8.45,manually from http://www.astro.com/atlas/,865,NULL,NULL
Espergaerde,Denmark,56,12.5667,manually from http://www.astro.com/atlas/,866,NULL,NULL
Fakse,Denmark,55.25,12.1333,manually from http://www.astro.com/atlas/,867,NULL,NULL
Farum,Denmark,55.8,12.3667,manually from http://www.astro.com/atlas/,868,NULL,NULL
Fredensborg,Denmark,55.9667,12.4,manually from http://www.astro.com/atlas/,869,NULL,NULL
Fredericia,Denmark,55.5833,9.76667,manually from http://www.astro.com/atlas/,870,NULL,NULL
Frederikshavn,Denmark,57.4333,10.5333,manually from http://www.astro.com/atlas/,871,NULL,NULL
Frederikssund,Denmark,55.8333,12.0667,manually from http://www.astro.com/atlas/,872,NULL,NULL
Frederiksvaerk,Denmark,55.9667,12.0333,manually from http://www.astro.com/atlas/,873,NULL,NULL
Galten,Denmark,56.15,9.91667,manually from http://www.astro.com/atlas/,874,NULL,NULL
Give,Denmark,55.85,9.25,manually from http://www.astro.com/atlas/,875,NULL,NULL
Glostrup,Denmark,55.6667,12.4,manually from http://www.astro.com/atlas/,876,NULL,NULL
Glyngoere,Denmark,56.7667,8.86667,manually from http://www.astro.com/atlas/,877,NULL,NULL
Gram,Denmark,55.2833,9.06667,manually from http://www.astro.com/atlas/,878,NULL,NULL
Grenaa,Denmark,56.4167,10.8833,manually from http://www.astro.com/atlas/,879,NULL,NULL
Grindsted,Denmark,55.75,8.93333,manually from http://www.astro.com/atlas/,880,NULL,NULL
Haderslev,Denmark,55.25,9.5,manually from http://www.astro.com/atlas/,881,NULL,NULL
Hadsten,Denmark,56.3333,10.05,manually from http://www.astro.com/atlas/,882,NULL,NULL
Hadsund,Denmark,56.7167,10.1167,manually from http://www.astro.com/atlas/,883,NULL,NULL
Hammel,Denmark,56.25,9.86667,manually from http://www.astro.com/atlas/,884,NULL,NULL
