code,city,state,country,comments,junk,oid
ptld,Portland,OR,USA,NULL,NULL,185
rcrd,Rancho Cordova,CA,USA,NULL,NULL,186
scrl,Sacramento,CA,USA,NULL,NULL,187
slkc,Salt Lake City,UT,USA,NULL,NULL,188
smyr,Atlanta,GA,USA,NULL,NULL,189
sndj,San Diego,CA,USA,NULL,NULL,190
snfc,San Francisco,CA,USA,NULL,NULL,191
spkn,Spokane,WA,USA,NULL,NULL,192
sttl,Seattle,WA,USA,NULL,NULL,193
tacm,Tacoma,WA,USA,NULL,NULL,194
wash,Washington,DC,USA,NULL,NULL,195
alncoh,Alliance,OH,USA,NULL,NULL,196
beth.md,Bethesda,MD,USA,NULL,NULL,197
nrt,Tokyo,NULL,Japan,NULL,NULL,198
penn.us,Pennsauken,NJ,USA,NULL,NULL,199
oakh.us,Oakhurst,NJ,USA,NULL,NULL,200
ledn.nl,Leeuwarden,NULL,Netherlands,NULL,NULL,201
limaoh,Lima,OH,USA,NULL,NULL,202
wien.at,Wiener Neustadt,NULL,Austria,NULL,NULL,203
amst.nl,Amsterdam,NULL,Netherlands,NULL,NULL,204
paris,Paris,NULL,France,NULL,NULL,205
philadelphia,Philadelphia,PA,USA,NULL,NULL,206
brisbane,Brisbane,NULL,Australia,NULL,NULL,207
wash.us,Washington,DC,USA,NULL,NULL,208
maee.us,Washington,DC,USA,NULL,NULL,209
frnkge,Frankfurt,NULL,Germany,NULL,NULL,210
amstnl,Amsterdam,NULL,Netherlands,NULL,NULL,211
osl,Oslo,NULL,Norway,NULL,NULL,212
nwrknj,Newark,NJ,USA,NULL,NULL,213
scrm,Sacramento,CA,USA,NULL,NULL,214
slc,Salt Lake City,UT,USA,NULL,NULL,215
det,Detroit,MI,USA,NULL,NULL,216
pitt,Pittsburgh,PA,USA,NULL,NULL,217
mcl,McLean,VA,USA,NULL,NULL,218
it.mil,Milan,NULL,Italy,NULL,NULL,219
ariake,Tokyo,NULL,Japan,NULL,NULL,220
attga,Atlanta,GA,USA,NULL,NULL,221
sl9mo,St. Louis,MO,USA,NULL,NULL,222
n54ny,New York,NY,USA,NULL,NULL,223
fft,Frankfurt,NULL,Germany,NULL,NULL,224
sthm.se,Stockholm,NULL,Sweden,NULL,NULL,225
hel.fi,Helsinki,NULL,Finland,NULL,NULL,226
cgcil,Chicago,IL,USA,NULL,NULL,227
lnd.gbb.uk,London,NULL,United Kingdom,NULL,NULL,228
lbcktx,Lubbock,TX,USA,NULL,NULL,229
whkn,Weehawken,NJ,USA,NULL,NULL,230
wash-dc,Washington,DC,USA,NULL,NULL,231
lubbok,Lubbock,TX,USA,NULL,NULL,232
vancouver,Vancouver,BC,Canada,NULL,NULL,233
roc,Rochester,NY,USA,NULL,NULL,234
rly,Relay,MD,USA,NULL,NULL,235
kszmo,Kansas City,MO,USA,NULL,NULL,236
dtrmi,Detroit,MI,USA,NULL,NULL,237
moscow,Moscow,NULL,Russia,NULL,NULL,238
nol,New Orleans,LA,USA,NULL,NULL,239
hstntx,Houston,TX,USA,NULL,NULL,240
cleveland,Cleveland,OH,USA,NULL,NULL,241
dtrtmi,Detroit,MI,USA,NULL,NULL,242
columbus,Columbus,OH,USA,NULL,NULL,243
gb.lon,London,NULL,United Kingdom,NULL,NULL,244
fr.par,Paris,NULL,France,NULL,NULL,245
ch.gen,Geneva,NULL,Switzerland,NULL,NULL,246
de.mun,Munich,NULL,Germany,NULL,NULL,247
de.fra,Frankfurt,NULL,Germany,NULL,NULL,248
mad,Madrid,NULL,Spain,NULL,NULL,249
balt,Baltimore,MD,USA,NULL,NULL,250
anaheim,Anaheim,CA,USA,NULL,NULL,251
rochny,Rochester,NY,USA,NULL,NULL,252
syrcny,Syracuse,NY,USA,NULL,NULL,253
usnyc,New York,NY,USA,NULL,NULL,254
us.nyc,New York,NY,USA,NULL,NULL,255
be.bru,Brussels,NULL,Belgium,NULL,NULL,256
warn.mi,Warren,MI,USA,NULL,NULL,257
hnl,Honolulu,HI,USA,NULL,NULL,258
hnllhi,Honolulu,HI,USA,NULL,NULL,259
nancy,Nancy,NULL,France,NULL,NULL,260
strasbourg,Strasbourg,NULL,France,NULL,NULL,261
saintjohnnb,St. John,NB,Canada,NULL,NULL,262
mclnva,McLean,VA,USA,NULL,NULL,263
seattlesel,Seattle,WA,USA,NULL,NULL,264
syd,Sydney,NULL,Australia,NULL,NULL,265
mia,Miami,FL,USA,NULL,NULL,266
paris.fr,Paris,NULL,France,NULL,NULL,267
austtx,Austin,TX,USA,NULL,NULL,268
chicagochd,Chicago,IL,USA,NULL,NULL,269
frankfurt,Frankfurt,NULL,Germany,NULL,NULL,270
osl.no,Oslo,NULL,Norway,NULL,NULL,271
dallasdan,Dallas,TX,USA,NULL,NULL,272
pittsburgh,Pittsburgh,PA,USA,NULL,NULL,273
ormfl,Orlando,FL,USA,NULL,NULL,274
tulsok,Tulsa,OK,USA,NULL,NULL,275
austin,Austin,TX,USA,NULL,NULL,276
nrflva,Norfolk,VA,USA,NULL,NULL,277
gnvlsc,Greenville,SC,USA,NULL,NULL,278
baltimore,Baltimore,MD,USA,NULL,NULL,279
rdu,Raleigh,NC,USA,NULL,NULL,280
memphis,Memphis,TN,USA,NULL,NULL,281
houston,Houston,TX,USA,NULL,NULL,282
anhmca,Anaheim,CA,USA,NULL,NULL,283
nworla,New Orleans,LA,USA,NULL,NULL,284
brhmal,Birmingham,AL,USA,NULL,NULL,285
nsvltn,Nashville,TN,USA,NULL,NULL,286
ruthfd.tn,Rutherford,TN,USA,NULL,NULL,287
pit,Pittsburgh,PA,USA,NULL,NULL,288
cvg,Covington,KY,USA,NULL,NULL,289
mke.wi,Milwaukee,WI,USA,NULL,NULL,290
