	4.20.236.3.rivnet.net
ca.csms	ubr02-p2-0.csmshe1.ca.attbb.net
ca.csms	ubr03-p2-0.csmshe1.ca.attbb.net
ca.cyps	bar01-d4-0.cypshe1.ca.attbb.net
ca.cyps	ubr02-p2-0.cypshe1.ca.attbb.net
ca.elsg	bic01-d4-0.elsgrdc1.ca.attbb.net
ca.elsg	bic01-p0-0.elsgrdc1.ca.attbb.net
ca.elsg	bic01-p2-0.elsgrdc1.ca.attbb.net
ca.elsg	bic02-d4-0.elsgrdc1.ca.attbb.net
ca.elsg	bic02-p3-0.elsgrdc1.ca.attbb.net
ca.elsn	bar01-d3-0.elsnhe1.ca.attbb.net
ca.elsn	ubr07-f2-0.elsnhe1.ca.attbb.net
ca.elsn	ubr08-f2-0.elsnhe1.ca.attbb.net
ca.frsn	bar01-d1-0-0.frsnhe3.ca.attbb.net
ca.frsn	bar01-f5-0-0.frsnhe3.ca.attbb.net
ca.frsn	bar01-p0-0-0.frsnhe4.ca.attbb.net
ca.frsn	bar01-p10-1-0.frsnhe1.ca.attbb.net
ca.frsn	bar01-p1-1-0.frsnhe3.ca.attbb.net
ca.frsn	bar01-p4-1-0.frsnhe1.ca.attbb.net
ca.frsn	bar02-p0-1-0.frsnhe1.ca.attbb.net
ca.frsn	bar02-p6-1-0.frsnhe1.ca.attbb.net
ca.frsn	ubr01-p1-0.frsnhe1.ca.attbb.net
ca.frsn	ubr01-p1-0.frsnhe2.ca.attbb.net
ca.frsn	ubr01-p1-0.frsnhe3.ca.attbb.net
ca.frsn	ubr01-p1-0.frsnhe4.ca.attbb.net
ca.frsn	ubr02-p1-0.frsnhe3.ca.attbb.net
ca.frsn	ubr02-p2-0.frsnhe3.ca.attbb.net
ca.frsn	ubr02-p2-0.frsnhe4.ca.attbb.net
ca.frsn	ubr03-p2-0.frsnhe3.ca.attbb.net
ca.hnfr	bar01-p1-0-0.hnfrhe1.ca.attbb.net
ca.hnfr	ubr01-p1-0.hnfrhe1.ca.attbb.net
ca.igwd	bar01-g4-1.igwdhe1.ca.attbb.net
ca.igwd	bar01-p6-1-0.igwdhe1.ca.attbb.net
ca.igwd	ubr01-p1-0.igwdhe1.ca.attbb.net
ca.igwd	ubr01-p1-0.igwdhe2.ca.attbb.net
ca.igwd	ubr02-p2-0.igwdhe2.ca.attbb.net
